Postcode,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Double Orphan Pension,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Commonwealth Seniors Health Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice)
4605,11,104,682,<5,201,5,117,<5,338,562,477,597,40,403,38,214,0,"1,498",45,<5,<5,6,0,<5,0,127,5
4606,<5,8,588,<5,127,<5,55,<5,145,203,163,176,22,94,19,44,<5,883,26,0,0,5,0,<5,<5,18,0
4608,0,0,130,0,39,0,25,0,54,58,49,51,<5,35,7,9,<5,242,6,<5,0,<5,0,<5,<5,<5,<5
4610,6,22,"2,017",16,665,7,328,<5,903,"1,228",960,"1,081",158,568,99,275,<5,"3,835",207,<5,<5,13,0,7,8,141,37
4611,0,0,22,0,10,0,8,0,12,14,10,15,<5,<5,<5,<5,0,47,0,0,0,0,0,0,0,<5,<5
4612,0,0,71,0,13,<5,8,0,23,8,6,18,<5,7,<5,0,0,106,10,0,0,0,0,0,0,0,0
4613,0,<5,175,0,71,0,39,0,92,76,63,89,22,53,10,10,0,345,14,0,0,0,0,<5,<5,11,5
4614,0,<5,288,<5,93,<5,49,0,121,97,79,116,9,67,13,20,0,506,10,0,0,<5,0,0,<5,19,<5
4615,<5,13,"1,414",<5,528,6,277,0,741,610,471,617,97,394,46,115,<5,"2,765",74,<5,0,12,0,<5,13,63,8
4620,0,0,73,0,10,0,7,0,31,22,13,32,15,23,0,<5,<5,134,9,0,0,<5,0,<5,0,<5,<5
4621,<5,7,421,<5,102,0,58,0,156,115,100,129,21,89,12,28,0,711,25,0,0,<5,0,<5,<5,11,6
4625,0,5,387,<5,74,<5,30,0,118,222,158,200,25,112,19,40,<5,638,45,0,0,<5,0,<5,<5,21,6
4626,0,<5,248,0,50,<5,22,<5,75,164,108,132,17,58,9,30,0,394,56,0,0,<5,0,0,<5,5,<5
4627,<5,5,101,<5,25,0,12,0,50,73,58,66,6,47,<5,17,0,200,17,0,0,<5,0,0,<5,9,<5
4630,<5,<5,385,<5,63,0,24,0,82,182,123,196,26,104,10,29,0,567,74,<5,0,<5,0,<5,<5,11,<5
4650,18,48,"6,078",50,"1,792",21,936,<5,"2,739","2,894","2,304","2,973",546,"2,092",248,600,11,"11,468",320,12,<5,36,0,21,24,380,101
4655,23,125,"12,471",123,"3,438",46,"1,739",<5,"3,621","5,059","4,044","5,224","1,025","3,445",397,"1,100",22,"20,687",698,34,<5,63,0,23,35,586,250
4659,<5,5,"1,345",10,358,0,184,<5,394,328,268,404,99,298,29,71,5,"2,163",55,6,0,8,0,<5,<5,24,5
4660,0,8,"1,668",6,457,<5,250,0,435,512,399,663,132,520,51,78,<5,"2,704",107,7,0,7,0,9,6,51,19
4662,0,<5,140,<5,52,0,29,0,58,86,74,83,11,52,7,20,<5,276,5,<5,0,0,0,<5,0,14,<5
4670,35,130,"13,792",144,"3,685",100,"1,758",7,"4,196","6,726","5,368","6,979","1,294","4,465",506,"1,584",30,"23,581",920,39,11,88,0,47,49,905,357
4671,<5,<5,"1,044",12,398,<5,247,0,556,515,396,634,91,520,37,88,6,"2,209",67,<5,<5,7,0,8,7,47,17
4673,<5,<5,116,<5,26,0,15,0,32,46,32,58,12,35,5,<5,<5,196,11,0,0,<5,0,<5,<5,6,<5
