LGA,LGA name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice)
18000,Warringah (A),7,13,"13,384",121,"1,850",73,458,"3,439","2,134","4,964","3,619","3,349",726,"1,457",128,525,<5,"17,339",19,11,61,0,6,5,107,468
18020,Warrumbungle Shire (A),11,29,"1,695",<5,381,<5,209,152,546,731,538,699,102,462,59,153,<5,"2,817",7,0,10,0,<5,8,53,35
18050,Waverley (A),<5,6,"3,778",88,681,15,207,"1,010",854,"1,392","1,134","1,379",319,685,62,147,<5,"5,268",10,10,22,0,<5,0,46,224
18100,Weddin (A),0,0,706,<5,145,<5,81,93,218,237,158,190,35,120,17,31,0,"1,109",<5,0,5,0,0,<5,15,11
18150,Wellington (A),16,75,"1,275",6,325,9,167,106,484,741,585,660,64,496,50,211,<5,"2,362",<5,<5,7,0,<5,<5,77,20
18200,Wentworth (A),<5,27,900,6,235,<5,126,86,321,521,392,557,119,353,30,110,<5,"1,619",<5,0,<5,0,<5,<5,52,24
18250,Willoughby (C),6,<5,"4,064",60,679,21,189,"1,709",765,"1,911","1,414","1,678",485,560,79,115,<5,"5,454",13,55,37,0,5,0,41,300
18350,Wingecarribee (A),6,12,"7,340",32,"1,145",30,407,"1,377","1,471","2,629","1,925","1,706",314,771,115,378,<5,"10,047",16,<5,19,0,9,6,103,117
18400,Wollondilly (A),10,24,"4,431",36,"1,363",73,480,451,995,"2,805","2,101","1,920",360,786,83,489,7,"6,912",16,0,27,0,11,9,107,162
18450,Wollongong (C),102,131,"27,403",350,"6,926",167,"2,921","2,423","8,991","11,889","9,490","11,756","3,423","6,681",762,"2,233",44,"45,076",66,14,134,0,59,48,"1,003","2,355"
18500,Woollahra (A),<5,20,"2,174",59,354,10,73,"1,205",397,765,618,731,203,357,21,82,0,"2,858",<5,<5,14,0,<5,0,14,156
18550,Wyong (A),62,158,"25,201",195,"6,324",178,"2,810","1,526","7,719","13,050","10,433","10,210","1,659","6,402",568,"2,737",25,"42,187",86,11,120,0,54,49,976,661
18710,Yass Valley (A),<5,14,"1,393",10,301,6,109,282,349,766,553,509,83,217,40,115,0,"2,098",7,0,5,0,<5,0,23,43
18750,Young (A),<5,19,"1,898",<5,385,14,170,180,648,"1,112",856,803,98,468,84,246,<5,"3,223",<5,0,10,0,7,7,86,41
19399,Unincorporated NSW,0,0,167,<5,21,0,7,28,29,83,51,56,0,41,5,6,<5,229,0,0,0,0,0,<5,<5,0
20110,Alpine (S),<5,0,"2,182",13,335,7,143,276,416,796,559,685,219,345,39,105,<5,"3,050",<5,<5,10,0,<5,6,27,47
20260,Ararat (RC),<5,<5,"1,890",11,369,13,167,196,660,794,587,830,270,460,51,129,<5,"3,099",<5,0,6,0,<5,<5,74,37
20570,Ballarat (C),19,31,"12,726",239,"3,288",111,"1,518","1,042","5,264","7,846","6,200","8,878","3,484","4,159",417,"1,568",23,"23,215",44,<5,77,0,25,24,807,"1,353"
20660,Banyule (C),17,12,"13,153",206,"2,964",97,876,"2,321","3,354","5,579","4,345","6,764","2,924","2,651",291,716,6,"19,493",42,30,80,0,23,10,278,"1,015"
20740,Bass Coast (S),<5,<5,"6,521",43,"1,066",19,452,763,"1,642","2,546","1,905","2,455",791,"1,530",162,440,9,"9,974",11,<5,32,0,13,14,141,103
